text,Reference,GT,f768407035,f821282878,f831930970
it presents like no other of luther's writings the central thought of christianity the justification of the sinner for the sake of christ's merits alone,test_samples/f768407035/ref_4.flac,test_samples/f768407035/gt_4.flac,test_samples/f768407035/sample_4.flac,test_samples/f821282878/sample_4.flac,test_samples/f831930970/sample_4.flac
it was silent and gloomy being tenanted solely by the captive and lighted by the dying embers of a fire which had been used for the purposed of cookery,test_samples/f768407035/ref_3.flac,test_samples/f768407035/gt_3.flac,test_samples/f768407035/sample_3.flac,test_samples/f821282878/sample_3.flac,test_samples/f831930970/sample_3.flac
mistress fitzooth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet,test_samples/f768407035/ref_19.flac,test_samples/f768407035/gt_19.flac,test_samples/f768407035/sample_19.flac,test_samples/f821282878/sample_19.flac,test_samples/f831930970/sample_19.flac
nay dear aunt you never heard me say that all people are called to forsake their work and their families,test_samples/f768407035/ref_2.flac,test_samples/f768407035/gt_2.flac,test_samples/f768407035/sample_2.flac,test_samples/f821282878/sample_2.flac,test_samples/f831930970/sample_2.flac
ten days were consumed in these negotiations but the spirit of vengeance refused to yield,test_samples/f768407035/ref_13.flac,test_samples/f768407035/gt_13.flac,test_samples/f768407035/sample_13.flac,test_samples/f821282878/sample_13.flac,test_samples/f831930970/sample_13.flac
the eyes of the whole party followed the unexpected movement and read their success in the air of triumph that the youth assumed,test_samples/f768407035/ref_18.flac,test_samples/f768407035/gt_18.flac,test_samples/f768407035/sample_18.flac,test_samples/f821282878/sample_18.flac,test_samples/f831930970/sample_18.flac
the peculiar circumstances of the colony are within your excellency's knowledge,test_samples/f768407035/ref_15.flac,test_samples/f768407035/gt_15.flac,test_samples/f768407035/sample_15.flac,test_samples/f821282878/sample_15.flac,test_samples/f831930970/sample_15.flac
the result is a great mobility of the labor employed in printing perhaps greater than in any other equally well defined and considerable body of workmen,test_samples/f768407035/ref_12.flac,test_samples/f768407035/gt_12.flac,test_samples/f768407035/sample_12.flac,test_samples/f821282878/sample_12.flac,test_samples/f831930970/sample_12.flac
these thoughts agitated me all day and my imagination scarcely calmed down after several hours sleep,test_samples/f768407035/ref_11.flac,test_samples/f768407035/gt_11.flac,test_samples/f768407035/sample_11.flac,test_samples/f821282878/sample_11.flac,test_samples/f831930970/sample_11.flac
unc knocked at the door of the house and a chubby pleasant faced woman dressed all in blue opened it and greeted the visitors with a smile,test_samples/f768407035/ref_1.flac,test_samples/f768407035/gt_1.flac,test_samples/f768407035/sample_1.flac,test_samples/f821282878/sample_1.flac,test_samples/f831930970/sample_1.flac
yea his honourable worship is within but he hath a godly minister or two with him and likewise a leech,test_samples/f768407035/ref_10.flac,test_samples/f768407035/gt_10.flac,test_samples/f768407035/sample_10.flac,test_samples/f821282878/sample_10.flac,test_samples/f831930970/sample_10.flac
they set up a crane over the fire and hung the pot upon it and we sat and watched it boil while we joked at last the supper began,test_samples/f768407035/ref_23.flac,test_samples/f768407035/gt_23.flac,test_samples/f768407035/sample_23.flac,test_samples/f821282878/sample_23.flac,test_samples/f831930970/sample_23.flac
and with it i leave you a name sif the friendly i shall hope to drink with you sometime in valhalla,test_samples/f768407035/ref_24.flac,test_samples/f768407035/gt_24.flac,test_samples/f768407035/sample_24.flac,test_samples/f821282878/sample_24.flac,test_samples/f831930970/sample_24.flac
to night there was no need of extra heat and there were great ceremonies to be observed in lighting the fires on the hearthstones,test_samples/f768407035/ref_25.flac,test_samples/f768407035/gt_25.flac,test_samples/f768407035/sample_25.flac,test_samples/f821282878/sample_25.flac,test_samples/f831930970/sample_25.flac
then of a sudden at midday the sun shot out hot and still no breath of air stirred the sky was like blue steel the earth steamed,test_samples/f768407035/ref_26.flac,test_samples/f768407035/gt_26.flac,test_samples/f768407035/sample_26.flac,test_samples/f821282878/sample_26.flac,test_samples/f831930970/sample_26.flac
rodolfo and his companions with their faces muffled in their cloaks stared rudely and insolently at the mother the daughter and the servant maid,test_samples/f768407035/ref_27.flac,test_samples/f768407035/gt_27.flac,test_samples/f768407035/sample_27.flac,test_samples/f821282878/sample_27.flac,test_samples/f831930970/sample_27.flac
fortunately said mister vanderpool northerners and southerners are arriving at a better mutual understanding on most of these matters,test_samples/f768407035/ref_28.flac,test_samples/f768407035/gt_28.flac,test_samples/f768407035/sample_28.flac,test_samples/f821282878/sample_28.flac,test_samples/f831930970/sample_28.flac
positively heroic added cresswell avoiding his sister's eyes,test_samples/f768407035/ref_29.flac,test_samples/f768407035/gt_29.flac,test_samples/f768407035/sample_29.flac,test_samples/f821282878/sample_29.flac,test_samples/f831930970/sample_29.flac
i am not depreciating it when i say that in these times it is not rare,test_samples/f768407035/ref_30.flac,test_samples/f768407035/gt_30.flac,test_samples/f768407035/sample_30.flac,test_samples/f821282878/sample_30.flac,test_samples/f831930970/sample_30.flac
you'll easily judge why when you hear because the thing had been such a scare he continued to fix me,test_samples/f768407035/ref_31.flac,test_samples/f768407035/gt_31.flac,test_samples/f768407035/sample_31.flac,test_samples/f821282878/sample_31.flac,test_samples/f831930970/sample_31.flac
harangue the tiresome product of a tireless tongue,test_samples/f768407035/ref_32.flac,test_samples/f768407035/gt_32.flac,test_samples/f768407035/sample_32.flac,test_samples/f821282878/sample_32.flac,test_samples/f831930970/sample_32.flac
